player_total,is_soft,dealer_up,true_count,action,EV,samples
20,False,2,0,S,0.698,43
14,False,7,0,H,-0.472,36
12,False,3,0,H,-0.267,30
16,False,10,0,R,-0.5,90
15,False,9,0,H,-0.361,36
17,False,8,0,S,-0.611,18
10,False,10,0,H,-0.082,61
12,False,10,0,H,-0.231,121
15,False,10,0,R,-0.5,84
12,False,8,0,H,-0.114,44
11,False,11,0,N,-0.533,15
15,False,4,0,S,-0.6,20
15,True,11,0,N,-0.75,4
20,False,3,0,S,0.705,44
7,False,10,0,H,-0.25,28
16,False,7,0,H,-0.286,21
13,False,3,0,S,0.0,28
16,False,2,0,S,-0.048,21
19,True,4,0,S,0.0,5
20,False,4,0,S,0.696,23
16,False,10,0,P,-0.455,11
17,False,11,0,N,-0.672,29
11,False,10,0,D,0.123,81
8,False,6,0,P,-3.0,2
18,False,8,1,S,0.0,6
15,False,10,1,R,-0.5,31
8,False,11,0,N,-0.167,12
13,False,10,0,H,-0.459,122
18,False,10,0,S,-0.037,82
9,False,6,0,D,1.5,8
12,False,11,0,N,-0.217,23
14,False,8,1,H,-0.2,5
20,False,10,0,S,0.595,131
14,False,10,0,H,-0.483,89
19,False,3,0,S,0.462,26
13,False,3,-1,S,-0.2,5
15,False,10,-1,R,-0.5,30
16,False,11,-1,N,-0.636,11
19,False,2,-1,S,0.444,9
6,False,3,-2,H,-0.667,3
17,False,6,-2,S,-1.0,1
10,False,10,-1,H,-0.182,11
20,False,2,-1,S,0.6,5
16,False,6,-1,S,-0.556,9
18,False,9,-1,P,2.0,1
21,True,7,0,S,1.5,25
17,False,11,-2,N,-0.6,5
12,False,4,-2,S,-0.2,5
13,True,8,-2,H,-1.0,1
21,True,5,-3,S,1.5,3
14,False,3,-4,S,-1.0,1
18,False,6,-4,P,-2.0,1
12,False,5,0,P,2.667,3
8,False,6,1,H,0.4,5
10,False,7,1,D,-0.5,4
18,False,9,1,S,-0.667,3
13,False,10,1,H,-0.8,40
13,False,9,1,H,-0.333,12
9,False,10,1,H,0.167,12
9,False,9,1,H,-0.5,2
18,False,10,1,S,-0.222,18
19,False,3,1,S,0.571,7
10,False,10,1,H,0.286,14
17,False,5,1,S,0.5,4
12,False,10,1,H,-0.5,30
12,False,5,1,S,0.091,11
7,False,6,1,H,0.0,4
4,False,10,1,H,0.0,2
20,False,6,2,S,0.0,4
5,False,9,1,H,0.0,2
17,True,2,1,H,1.0,1
13,True,10,1,H,-0.6,5
20,False,11,1,N,-0.1,10
16,False,7,1,H,-0.5,8
16,False,10,1,R,-0.5,20
7,False,10,1,H,-0.353,17
12,False,7,1,H,-1.0,7
5,False,10,0,H,-0.391,23
8,False,5,0,H,0.4,10
18,False,11,1,N,-0.273,11
17,False,4,0,S,-0.375,24
13,True,4,1,H,0.5,2
13,False,2,1,S,-1.0,7
20,False,8,2,S,1.0,3
16,False,2,1,S,-0.333,6
16,False,6,3,S,0.0,2
12,False,10,2,H,-0.5,8
